obj_regio1,obj_newlyConst,obj_yearConstructed,obj_firingTypes,obj_cellar,obj_houseNumber,obj_livingSpace,geo_krs,obj_condition,obj_street,geo_plz,obj_noRooms,obj_telekomInternetProductAvailable,obj_barrierFree,obj_regio3,obj_livingSpaceRange,obj_telekomUploadSpeed,obj_telekomDownloadSpeed,obj_purchasePrice,obj_purchasePrice_per_qm
Niedersachsen,n,1995.0,gas,n,no_information,128.0,Stade_Kreis,well_kept,no_information,21698.0,6.0,True,n,other,3.0,2.4,16.0,238000.0,1859.375
Niedersachsen,n,2001.0,natural_gas_light,n,no_information,132.0,Wesermarsch_Kreis,first_time_use,no_information,26969.0,5.0,True,n,Butjadingen,3.0,2.4,16.0,263000.0,1992.4242424242425
Niedersachsen,n,2018.0,gas,n,no_information,140.0,Leer_Kreis,mint_condition,no_information,26802.0,3.0,False,n,Moormerland,3.0,,,260000.0,1857.142857142857
Niedersachsen,n,1985.0,gas,y,61,110.0,Grafschaft_Bentheim_Kreis,well_kept,Feriengebiet Am Waldbad,49870.0,4.0,True,n,other,2.0,2.4,16.0,124500.0,1131.8181818181818
Niedersachsen,n,1954.0,oil,n,no_information,125.0,Emsland_Kreis,no_information,no_information,49733.0,6.0,True,n,Haren_Ems,3.0,2.4,16.0,130000.0,1040.0
Niedersachsen,n,1730.0,oil,n,no_information,200.0,Göttingen_Kreis,need_of_renovation,no_information,34355.0,7.0,True,n,other,6.0,40.0,100.0,230000.0,1150.0
Niedersachsen,n,1980.0,no_information,n,no_information,110.0,Leer_Kreis,well_kept,no_information,26826.0,3.0,True,n,Weener,2.0,40.0,100.0,199000.0,1809.090909090909
Niedersachsen,n,1974.0,electricity,n,no_information,150.0,Harburg_Kreis,well_kept,no_information,21279.0,6.0,True,n,other,4.0,2.4,16.0,285000.0,1900.0
Niedersachsen,n,1969.0,,n,no_information,197.0,Diepholz_Kreis,no_information,no_information,28816.0,9.0,True,n,Stuhr,6.0,40.0,100.0,241000.0,1223.3502538071066
Niedersachsen,n,2007.0,gas,y,6,226.0,Grafschaft_Bentheim_Kreis,mint_condition,An der Waldseite,48455.0,6.0,True,n,Bad_Bentheim,7.0,2.4,16.0,475000.0,2101.7699115044247
Niedersachsen,n,1968.0,oil,y,no_information,179.1,Göttingen_Kreis,need_of_renovation,no_information,37130.0,7.0,True,n,other,5.0,40.0,100.0,138000.0,770.5192629815746
Niedersachsen,n,1978.0,oil,n,no_information,234.0,Harburg_Kreis,modernized,no_information,21255.0,7.0,True,n,other,7.0,2.4,16.0,623000.0,2662.3931623931626
Niedersachsen,n,1998.0,gas,n,no_information,123.0,Harburg_Kreis,well_kept,no_information,21255.0,4.0,True,n,other,3.0,2.4,16.0,349000.0,2837.39837398374
Niedersachsen,n,1994.0,gas,n,no_information,75.0,Aurich_Kreis,well_kept,no_information,26629.0,3.0,True,n,Großefehn,1.0,2.4,16.0,119000.0,1586.6666666666667
Niedersachsen,n,1988.0,gas,n,no_information,175.0,Emsland_Kreis,well_kept,no_information,49744.0,6.5,True,n,other,5.0,2.4,16.0,269000.0,1537.142857142857
Niedersachsen,n,1904.0,no_information,n,no_information,235.0,Schaumburg_Kreis,no_information,no_information,31737.0,10.0,True,n,Rinteln,7.0,40.0,100.0,149000.0,634.0425531914893
Niedersachsen,n,1903.0,no_information,n,no_information,202.0,Schaumburg_Kreis,no_information,no_information,31737.0,7.0,True,n,Rinteln,6.0,40.0,100.0,292500.0,1448.019801980198
Niedersachsen,n,1985.0,no_information,n,no_information,206.0,Cloppenburg_Kreis,well_kept,no_information,49624.0,5.0,True,n,other,6.0,2.4,16.0,255000.0,1237.8640776699028
Niedersachsen,n,1991.0,gas,y,no_information,101.0,Hannover_Kreis,well_kept,no_information,30974.0,4.0,True,n,other,2.0,2.4,16.0,345000.0,3415.841584158416
Niedersachsen,n,1850.0,pellet_heating,n,no_information,150.0,Nienburg_Weser_Kreis,need_of_renovation,no_information,31604.0,5.0,False,n,other,4.0,,,150000.0,1000.0
Niedersachsen,n,1920.0,no_information,n,no_information,199.0,Leer_Kreis,no_information,no_information,26817.0,9.0,True,n,Rhauderfehn,6.0,,,239000.0,1201.0050251256282
Niedersachsen,n,1978.0,gas,y,no_information,185.0,Hannover_Kreis,need_of_renovation,no_information,30900.0,6.0,False,n,Wedemark,6.0,,,530000.0,2864.864864864865
Niedersachsen,n,1961.0,gas,n,no_information,220.8,Emsland_Kreis,no_information,no_information,26871.0,8.0,True,n,Papenburg,6.0,40.0,100.0,199900.0,905.3442028985506
Niedersachsen,n,1997.0,gas,n,no_information,156.0,Wolfenbüttel_Kreis,no_information,no_information,38302.0,6.0,True,n,Wolfenbüttel,4.0,2.4,16.0,325000.0,2083.3333333333335
Niedersachsen,n,1964.0,gas,n,no_information,110.0,Aurich_Kreis,no_information,no_information,26529.0,4.0,True,n,other,2.0,2.4,16.0,149900.0,1362.7272727272727
Niedersachsen,n,1960.0,gas,n,no_information,159.0,Aurich_Kreis,well_kept,no_information,26629.0,6.0,False,n,Großefehn,4.0,,,259000.0,1628.9308176100628
Niedersachsen,n,1960.0,gas,n,no_information,159.0,Aurich_Kreis,well_kept,no_information,26629.0,6.0,False,n,Großefehn,4.0,,,229000.0,1440.251572327044
Niedersachsen,n,1968.0,oil,y,no_information,160.0,Lüchow_Dannenberg_Kreis,well_kept,no_information,29451.0,7.0,True,n,Dannenberg_Elbe,4.0,40.0,100.0,180000.0,1125.0
Niedersachsen,n,1969.0,oil,y,no_information,200.0,Holzminden_Kreis,well_kept,no_information,37627.0,8.0,True,n,other,6.0,40.0,100.0,129000.0,645.0
Niedersachsen,n,2004.0,gas,n,no_information,114.0,Helmstedt_Kreis,well_kept,no_information,38350.0,4.0,True,n,Helmstedt,2.0,40.0,100.0,210000.0,1842.1052631578948
Niedersachsen,n,1952.0,gas,n,no_information,200.0,Celle_Kreis,well_kept,no_information,29320.0,9.0,True,n,other,6.0,40.0,100.0,295000.0,1475.0
Niedersachsen,n,1965.0,gas,n,no_information,97.0,Celle_Kreis,modernized,no_information,29328.0,3.0,True,n,other,1.0,10.0,50.0,210000.0,2164.9484536082473
Niedersachsen,n,1973.0,oil,n,no_information,135.0,Celle_Kreis,well_kept,no_information,29313.0,5.0,True,n,Hambühren,3.0,40.0,100.0,219000.0,1622.2222222222222
Niedersachsen,n,1983.0,oil,n,no_information,150.0,Celle_Kreis,well_kept,no_information,29348.0,5.0,True,n,other,4.0,40.0,100.0,145000.0,966.6666666666666
Niedersachsen,n,1962.0,gas,n,no_information,100.0,Celle_Kreis,well_kept,no_information,29229.0,3.0,True,n,Celle,1.0,2.4,6.0,169000.0,1690.0
Niedersachsen,n,1978.0,gas,n,no_information,171.0,Celle_Kreis,well_kept,no_information,29313.0,6.0,True,n,Hambühren,5.0,10.0,50.0,325000.0,1900.5847953216373
Niedersachsen,n,1973.0,gas,y,no_information,300.0,Osterode_am_Harz_Kreis,well_kept,no_information,37412.0,11.0,True,n,Herzberg_am_Harz,8.0,10.0,50.0,144000.0,480.0
Niedersachsen,n,1954.0,solar_heating:gas,n,no_information,318.0,Hannover_Kreis,need_of_renovation,no_information,30926.0,13.0,True,n,Seelze,8.0,40.0,100.0,350000.0,1100.6289308176101
Niedersachsen,n,1910.0,oil,n,no_information,410.0,Uelzen_Kreis,well_kept,no_information,29571.0,16.0,True,n,other,8.0,40.0,100.0,155000.0,378.0487804878049
Niedersachsen,n,1981.0,gas,y,no_information,120.0,Hannover,well_kept,no_information,30455.0,5.0,True,n,other,2.0,40.0,100.0,378500.0,3154.1666666666665
Niedersachsen,n,2011.0,gas,n,no_information,199.0,Lüneburg_Kreis,mint_condition,no_information,21409.0,6.0,False,n,other,6.0,,,469000.0,2356.78391959799
Niedersachsen,n,1956.0,gas,y,no_information,155.0,Celle_Kreis,modernized,no_information,29308.0,5.0,False,n,Winsen_Aller,4.0,,,333000.0,2148.3870967741937
Niedersachsen,n,1987.0,gas,n,no_information,135.0,Oldenburg_Oldenburg,need_of_renovation,no_information,26131.0,5.0,True,n,other,3.0,2.4,16.0,279000.0,2066.6666666666665
Niedersachsen,n,1976.0,gas,y,no_information,180.0,Peine_Kreis,need_of_renovation,no_information,38159.0,5.0,True,n,Vechelde,5.0,2.4,16.0,320000.0,1777.7777777777778
Niedersachsen,n,1976.0,gas,y,no_information,236.0,Leer_Kreis,refurbished,no_information,26802.0,7.0,True,n,Moormerland,7.0,40.0,100.0,259000.0,1097.457627118644
Niedersachsen,n,1968.0,gas,n,1,310.0,Leer_Kreis,refurbished,sperberweg,26789.0,9.0,,n,Leer_Ostfriesland,8.0,,,207500.0,669.3548387096774
Niedersachsen,n,1954.0,gas,n,no_information,100.0,Aurich_Kreis,modernized,no_information,26506.0,4.0,True,n,Norden,1.0,,,159000.0,1590.0
Niedersachsen,n,1968.0,oil,y,no_information,160.0,Lüneburg_Kreis,well_kept,no_information,21339.0,5.5,True,n,Lüneburg,4.0,40.0,100.0,499000.0,3118.75
Niedersachsen,n,1959.0,oil,y,no_information,144.0,Hannover_Kreis,well_kept,no_information,31303.0,6.0,True,n,Burgdorf,4.0,2.4,16.0,279000.0,1937.5
Niedersachsen,n,1952.0,gas,n,no_information,176.0,Hameln_Pyrmont_Kreis,well_kept,no_information,31789.0,6.5,True,n,Hameln,5.0,40.0,100.0,205000.0,1164.7727272727273
Niedersachsen,n,1920.0,gas,y,no_information,190.0,Lüneburg_Kreis,well_kept,no_information,21394.0,7.0,True,n,other,6.0,40.0,100.0,359000.0,1889.4736842105262
Niedersachsen,n,1964.0,oil,y,no_information,124.0,Goslar_Kreis,modernized,no_information,38667.0,4.0,True,n,Bad_Harzburg,3.0,40.0,100.0,180000.0,1451.6129032258063
Niedersachsen,n,1964.0,oil,y,10,140.0,Stade_Kreis,refurbished,Hogenbarg,21614.0,4.0,True,n,Buxtehude,3.0,10.0,50.0,359000.0,2564.285714285714
Niedersachsen,n,1974.0,gas,y,no_information,210.0,Hameln_Pyrmont_Kreis,well_kept,no_information,31855.0,10.0,True,n,other,6.0,10.0,50.0,245000.0,1166.6666666666667
