obj_regio1;obj_newlyConst;obj_yearConstructed;obj_firingTypes;obj_cellar;obj_houseNumber;obj_livingSpace;geo_krs;obj_condition;obj_street;geo_plz;obj_noRooms;obj_telekomInternetProductAvailable;obj_barrierFree;obj_regio3;obj_livingSpaceRange;obj_telekomUploadSpeed;obj_telekomDownloadSpeed;obj_purchasePrice;obj_purchasePrice_per_qm
Niedersachsen;n;1986.0;gas;n;;91.02;Celle_Kreis;well_kept;;29308.0;2.0;True;y;Winsen_Aller;1.0;40.0;100.0;129000.0;14.172.709.294.660.500
Niedersachsen;n;1953.0;;n;;132.0;Grafschaft_Bentheim_Kreis;;;48465.0;6.0;True;n;other;3.0;02. Apr;16.0;198000.0;1500.0
Niedersachsen;n;1870.0;gas;n;;328.0;Holzminden_Kreis;need_of_renovation;;31037.0;12.0;True;n;other;8.0;40.0;100.0;129000.0;3.932.926.829.268.290
Niedersachsen;n;1960.0;oil;y;;316.0;Goslar_Kreis;;;38690.0;13.0;True;n;other;8.0;02. Apr;16.0;169000.0;5.348.101.265.822.780
Niedersachsen;n;1988.0;natural_gas_heavy;n;;106.0;Gifhorn_Kreis;well_kept;;38518.0;4.0;True;n;Gifhorn;2.0;40.0;100.0;220000.0;20.754.716.981.132.000
Niedersachsen;n;1848.0;gas;n;9;190.0;Lüchow_Dannenberg_Kreis;;Springstra&szlig;;;;;;;;;;
Niedersachsen;n;1999.0;gas;n;;202.0;Aurich_Kreis;;;26629.0;7.0;True;y;Großefehn;6.0;02. Apr;16.0;379000.0;18.762.376.237.623.700
Niedersachsen;n;1910.0;gas;y;;180.0;Hameln_Pyrmont_Kreis;well_kept;;31787.0;7.0;True;n;Hameln;5.0;40.0;100.0;320000.0;17.777.777.777.777.700
Niedersachsen;n;1974.0;oil;y;;610.0;Hameln_Pyrmont_Kreis;well_kept;;31840.0;24.0;True;n;Hessisch_Oldendorf;8.0;02. Apr;16.0;1200000.0;19.672.131.147.540.900
Niedersachsen;n;1980.0;gas;y;;113.0;Schaumburg_Kreis;well_kept;;31683.0;5.0;True;n;other;2.0;40.0;100.0;125000.0;11.061.946.902.654.800
Niedersachsen;n;1978.0;oil;n;;175.0;Cuxhaven_Kreis;well_kept;;27628.0;5.0;True;n;other;5.0;02. Apr;16.0;325000.0;1.857.142.857.142.850
